meth;item;repl;y
Metodo x;1;1;4
Metodo y;1;1;3
Metodo x;2;1;4
Metodo y;2;1;3.9
Metodo x;3;1;4
Metodo y;3;1;5.5
Metodo x;4;1;4
Metodo y;4;1;15.9
Metodo x;5;1;5.2
Metodo y;5;1;10
Metodo x;6;1;5.3
Metodo y;6;1;12.7
Metodo x;7;1;6
Metodo y;7;1;7.3
Metodo x;8;1;6
Metodo y;8;1;9.7
Metodo x;9;1;6.2
Metodo y;9;1;10.4
Metodo x;10;1;6.2
Metodo y;10;1;22.2
Metodo x;11;1;7
Metodo y;11;1;7
Metodo x;12;1;7.7
Metodo y;12;1;12.8
Metodo x;13;1;7.8
Metodo y;13;1;14.5
Metodo x;14;1;9
Metodo y;14;1;13.1
Metodo x;15;1;9.2
Metodo y;15;1;9.3
Metodo x;16;1;11
Metodo y;16;1;13.8
Metodo x;17;1;12
Metodo y;17;1;15.8
Metodo x;18;1;12
Metodo y;18;1;17.7
Metodo x;19;1;12.4
Metodo y;19;1;11.5
Metodo x;20;1;12.5
Metodo y;20;1;17
Metodo x;21;1;12.9
Metodo y;21;1;13.7
Metodo x;22;1;13.3
Metodo y;22;1;17.7
Metodo x;23;1;13.5
Metodo y;23;1;11.3
Metodo x;24;1;13.6
Metodo y;24;1;25.7
Metodo x;25;1;13.8
Metodo y;25;1;22.1
Metodo x;26;1;13.9
Metodo y;26;1;22.3
Metodo x;27;1;14
Metodo y;27;1;22.3
Metodo x;28;1;14
Metodo y;28;1;28.9
Metodo x;29;1;14
Metodo y;29;1;31.3
Metodo x;30;1;15
Metodo y;30;1;12.7
Metodo x;31;1;15
Metodo y;31;1;21.6
Metodo x;32;1;15.3
Metodo y;32;1;15.4
Metodo x;33;1;15.6
Metodo y;33;1;28.7
Metodo x;34;1;15.9
Metodo y;34;1;26.5
Metodo x;35;1;16.1
Metodo y;35;1;21.3
Metodo x;36;1;16.2
Metodo y;36;1;16.8
Metodo x;37;1;16.6
Metodo y;37;1;30.9
Metodo x;38;1;16.9
Metodo y;38;1;27.6
Metodo x;39;1;17
Metodo y;39;1;17
Metodo x;40;1;17
Metodo y;40;1;22.1
Metodo x;41;1;18
Metodo y;41;1;20.3
Metodo x;42;1;18.8
Metodo y;42;1;12.2
Metodo x;43;1;18.8
Metodo y;43;1;21.5
Metodo x;44;1;18.8
Metodo y;44;1;35.1
Metodo x;45;1;19
Metodo y;45;1;21.6
Metodo x;46;1;19
Metodo y;46;1;36.9
Metodo x;47;1;19.1
Metodo y;47;1;22.7
Metodo x;48;1;20
Metodo y;48;1;23.9
Metodo x;49;1;20
Metodo y;49;1;27.4
Metodo x;50;1;20
Metodo y;50;1;31.2
Metodo x;51;1;20
Metodo y;51;1;36.7
Metodo x;52;1;20
Metodo y;52;1;38.9
Metodo x;53;1;20
Metodo y;53;1;40.2
Metodo x;54;1;20.4
Metodo y;54;1;22.3
Metodo x;55;1;20.4
Metodo y;55;1;25
Metodo x;56;1;20.7
Metodo y;56;1;33.6
Metodo x;57;1;20.8
Metodo y;57;1;36.4
Metodo x;58;1;21
Metodo y;58;1;19
Metodo x;59;1;21
Metodo y;59;1;29.3
Metodo x;60;1;21.3
Metodo y;60;1;21.4
Metodo x;61;1;21.8
Metodo y;61;1;26.7
Metodo x;62;1;21.9
Metodo y;62;1;55.8
Metodo x;63;1;22
Metodo y;63;1;22.3
Metodo x;64;1;22.9
Metodo y;64;1;23.9
Metodo x;65;1;23.1
Metodo y;65;1;23.8
Metodo x;66;1;23.1
Metodo y;66;1;38.4
Metodo x;67;1;23.8
Metodo y;67;1;26.9
Metodo x;68;1;24.4
Metodo y;68;1;54.6
Metodo x;69;1;25
Metodo y;69;1;25.6
Metodo x;70;1;25
Metodo y;70;1;35.1
Metodo x;71;1;25
Metodo y;71;1;36.1
Metodo x;72;1;25
Metodo y;72;1;40.5
Metodo x;73;1;25.1
Metodo y;73;1;27.2
Metodo x;74;1;25.2
Metodo y;74;1;18.2
Metodo x;75;1;25.6
Metodo y;75;1;28.5
Metodo x;76;1;26
Metodo y;76;1;33.2
Metodo x;77;1;26.7
Metodo y;77;1;38.3
Metodo x;78;1;26.9
Metodo y;78;1;19
Metodo x;79;1;27
Metodo y;79;1;40.2
Metodo x;80;1;27
Metodo y;80;1;41.2
Metodo x;81;1;27
Metodo y;81;1;48.2
Metodo x;82;1;27.9
Metodo y;82;1;29
Metodo x;83;1;28
Metodo y;83;1;23.1
Metodo x;84;1;28
Metodo y;84;1;34.4
Metodo x;85;1;28
Metodo y;85;1;48.1
Metodo x;86;1;28.2
Metodo y;86;1;36.3
Metodo x;87;1;28.3
Metodo y;87;1;33.7
Metodo x;88;1;29
Metodo y;88;1;40.5
Metodo x;89;1;29
Metodo y;89;1;41.4
Metodo x;90;1;29.8
Metodo y;90;1;25.3
Metodo x;91;1;30
Metodo y;91;1;30.5
Metodo x;92;1;30
Metodo y;92;1;38.5
Metodo x;93;1;30.9
Metodo y;93;1;29
Metodo x;94;1;31
Metodo y;94;1;34.4
Metodo x;95;1;31
Metodo y;95;1;38.6
Metodo x;96;1;31
Metodo y;96;1;43.9
Metodo x;97;1;31.3
Metodo y;97;1;32.3
Metodo x;98;1;32
Metodo y;98;1;34.8
Metodo x;99;1;32.5
Metodo y;99;1;24.2
Metodo x;100;1;32.8
Metodo y;100;1;35.5
Metodo x;101;1;33
Metodo y;101;1;25.2
Metodo x;102;1;34
Metodo y;102;1;53.7
Metodo x;103;1;34.4
Metodo y;103;1;36.1
Metodo x;104;1;35
Metodo y;104;1;31.8
Metodo x;105;1;35
Metodo y;105;1;33.6
Metodo x;106;1;35.7
Metodo y;106;1;35
Metodo x;107;1;36
Metodo y;107;1;35.7
Metodo x;108;1;36.8
Metodo y;108;1;35.4
Metodo x;109;1;37
Metodo y;109;1;28.2
Metodo x;110;1;37
Metodo y;110;1;54
Metodo x;111;1;38
Metodo y;111;1;32.2
Metodo x;112;1;38
Metodo y;112;1;35.4
Metodo x;113;1;38
Metodo y;113;1;42.5
Metodo x;114;1;39
Metodo y;114;1;34.1
Metodo x;115;1;39
Metodo y;115;1;45.1
Metodo x;116;1;39.9
Metodo y;116;1;45.5
Metodo x;117;1;40.2
Metodo y;117;1;37.1
Metodo x;118;1;40.9
Metodo y;118;1;53.6
Metodo x;119;1;41
Metodo y;119;1;52.5
Metodo x;120;1;41
Metodo y;120;1;53.8
Metodo x;121;1;42.1
Metodo y;121;1;43.7
Metodo x;122;1;42.2
Metodo y;122;1;36.1
Metodo x;123;1;42.5
Metodo y;123;1;39.3
Metodo x;124;1;43
Metodo y;124;1;54.5
Metodo x;125;1;43.8
Metodo y;125;1;62.2
Metodo x;126;1;44
Metodo y;126;1;49.1
Metodo x;127;1;45
